vsebina,teme (#),doseg,starostna skupina
"🌟 Hvala vsem udeležencem tečajev in njihovim staršem, za krasno leto, ki nam bo še dolgo motivacijsko vodilo na poti osvajanja novih ciljev. Gremo naprej – še bolj ambiciozno. 🚀

Ko se ob koncu leta ozremo nazaj, na dogajanja v minulih mesecih, vidimo obraze, projekte, prve vrstice kode, ponosne poglede in veliko majhnih zmag, ki skupaj sestavljajo veliko zgodbo. 💻✨

📊 Brez številk ob koncu leta kljub vsemu ne gre:

👨‍💻 V spomladanskem semestru Šole programiranja Coding Giants je svoje prve in že tudi napredne programerske korake naredilo več kot 100 otrok in mladih.

🧩 Od maja do novembra smo v okviru projektnih tečajev, sofinanciranih s strani Ministrstva za digitalno preobrazbo, v programih posebej prilagojenih zahtevam projekta MLADI 2025–26, usposabljali 280 otrok in mladih.

🎓 V februarju in oktobru 2025 smo izvedli obsežno serijo brezplačnih delavnic programiranja, ki se jih je skupaj udeležilo več kot 1.000 udeležencev – dokaz, da je zanimanje za digitalna znanja resnično in široko.

🏗️ Med jesenskimi in novoletnimi počitnicami smo z delavnicami programiranja gostovali v Tehnoparku Celje, kjer smo tehnologijo približali še širšemu krogu otrok in družin.

🔁 Konec novembra smo pričeli s tretjim ciklom projektnih tečajev, v katerih različne digitalne kompetence ovaja več kot 210 otrok in mladih različnih starosti.

🤖 K rednim programerskim tečajem smo dodali tečaje uporabe orodij umetne inteligence v praksi, ki so v zelo kratkem času postali naši najbolj priljubljeni programi.

👩‍🏫👨‍🏫 Naša ekipa se je okrepila – pridružili so se nam štirje novi predavatelji, strokovni, predani in usmerjeni v delo z mladimi.

🏫 Preselili smo se v novo učilnico, ki omogoča še boljše pogoje za učenje, ustvarjanje in sodelovanje.

💙 Na vse te dosežke smo iskreno ponosni. Ne zato, ker so številke velike, ampak ker vsaka od njih pomeni otroka ali mladega človeka, ki je danes bolje opolnomočen v pogledu uporabe digitalnih tehnologij, bolj samozavesten in bolje pripravljen na prihodnost.

🔭 Pogled naprej
Novo leto prinaša nove cilje, nove skupine, nove projekte in še več priložnosti za razvoj digitalnih kompetenc prihodnosti. Mi smo pripravljeni. Z znanjem, izkušnjami in jasno vizijo. 💡

Hvala vsem udeležencem, staršem, partnerjem in ekipi, ki soustvarjate to zgodbo.
Se vidimo v novem letu – še bolj radovedni, še bolj ustvarjalni in še bolj pogumni. 🌱🚀

#šola #učenje #programiranje #otrok #otroci #mladina #ustvarjalnost #slovenija #slovenia #ditalnatransformacija #sola #zabava #digital #school #digitalschool #codinggiants #digisi  @topfans @followers Tehnopark Celje Ministrstvo za digitalno preobrazbo","#šola, #učenje, #programiranje, #otrok, #otroci, #mladina, #ustvarjalnost, #slovenija, #slovenia, #ditalnatransformacija, #sola, #zabava, #digital, #school, #digitalschool, #codinggiants, #digisi",11836,7
"🎉💻 Pripravljeni na novoletne koderske izzive?

December je čas razmisleka, refleksije in novih začetkov. Leto 2026 je pred vrati, polno priložnosti za rast, učenje in ustvarjanje. Zakaj ne bi letos svojo kodersko pot naredili še bolj zanimivo in zabavno? 🚀

Naj bo prihodnje leto priložnost, da:

raziskuješ nove tehnologije,
gradiš projekte, ki te navdušujejo,
deliš znanje in pomagaš drugim rasti skupaj s tabo.

Vsak korak, ki ga narediš danes, te približa tvojim koderskim ciljem in sanjam. 🌟

👉 Delite z nami v komentarjih: kakšna bo vaša koderska zaobljuba za 2026?

#CodingGiants  #novoletnazaobljuba  #programiranje  #učenjekode  #STEM #December2025","#CodingGiants, #novoletnazaobljuba, #programiranje, #učenjekode, #STEM, #December2025",11620,7
"🎄💻 Jutri, v soboto, 27. 12., od 10.00 dalje ... še zadnjič letos Maraton delavnic programiranja in prvih korakov v svet tehnologij umetne intelience ....  za otroke in mladino od 7 do 18 let! 🚀

Zelo se veselimo druženja v Mestna občina Celje, kjer so skupaj z retrocomp.si poskrbeli za enkratno praznično vzdušje ✨ –  pridružite se in na zabaven način boste spoznali kako se lahko učenje, nostalgija, igra in tehnologija združijo v nepozabno izkušnjo! 🕹️🤖

Se vidimo! 😄🎉

#šola #učenje #programiranje #otrok #otroci #mladina #ustvarjalnost #maribor #slovenija #slovenia #ditalnatransformacija #sola #zabava #digital #school #digitalschool #codinggiants #digisi  Tehnopark Celje Mestna občina Celje Cjele, Cjele! @followers @topfans","#šola, #učenje, #programiranje, #otrok, #otroci, #mladina, #ustvarjalnost, #maribor, #slovenija, #slovenia, #ditalnatransformacija, #sola, #zabava, #digital, #school, #digitalschool, #codinggiants, #digisi",9082,7
"🎄 V preteklih dneh smo izvedli še zadnja letošnja srečanja v okviru projektnih tečajev DIGI Land – MLADI 2025–2026, ki jih izvajamo ob podpori Ministrstva za digitalno preobrazbo Republike Slovenije.

📅 Počitnice
Od 23. decembra 2025 smo tudi pri Coding Giants na prazničnem odmoru.

▶️ Nadaljevanje tečajev
Z izvedbo tečajev v vseh skupinah – tako v učilnicah kot prek spleta – nadaljujemo v soboto, 3. januarja 2026.

🎁 Vsem udeležencem in njihovim staršem želimo miren božič, prijetne praznike ter veliko energije in navdiha v prihajajočem letu. Hvala, ker ste del Coding Giants skupnosti.

💻 Online izvedbe tečajev in delavnic so pomembna oblika izvedbe izobraževanj, kot jih organiziramo v Zavodu DT.LAB Šoli programiranja https://www.codinggiants.si.

Online izvedba naših tečajev  ni izjema, temveč zavestna izbira, saj omogoča:
✔ enak dostop do kakovostnih vsebin ne glede na lokacijo,
✔ kontinuiteto izvajanja tudi v času praznikov ali odsotnosti,
✔ razvoj digitalne samostojnosti in odgovorne rabe tehnologije,
✔ fleksibilno kombiniranje online in izvedbe v živo, kar je ena ključnih prednosti projektnih tečajev DIGI Land.

#šola #učenje #programiranje #otrok #otroci #mladina #ustvarjalnost #maribor #slovenija #slovenia #ditalnatransformacija #sola #zabava #digital #school #digitalschool #codinggiants #digisi  Ministrstvo za digitalno preobrazbo @followers @topfans","#šola, #učenje, #programiranje, #otrok, #otroci, #mladina, #ustvarjalnost, #maribor, #slovenija, #slovenia, #ditalnatransformacija, #sola, #zabava, #digital, #school, #digitalschool, #codinggiants, #digisi",8366,7
"🎄✨ Vesel božič vam želi celotna ekipa Coding Giants!

Naj bo božični dan prežet z mirom, toplino in prijetnim družinskim vzdušjem ob praznični mizi.
Želimo vam tudi veliko nove energije, navdiha in veselja v prihajajočem letu. 💫

Hvala, ker ste del Coding Giants skupnosti. 💙

#CodingGiants  #veselbožič  #božičnidan  #prazniki","#CodingGiants, #veselbožič, #božičnidan, #prazniki",9668,7
"🎄💻 Najdi 5 programersko-božičnih besed!

Preizkusi se z 9x9 praznično-programersko uganko! 🧩
Skrite besede so povezane s programiranjem in božičem – jih najdeš?

📌 Besede so lahko razporejene horizontalno, vertikalno ali diagonalno!
🖊️ zapiši rešitev ali kopiraj posnetek zaslona  označenih nesed v komentar k tej objavi!

#šola #učenje #programiranje #otrok #otroci #mladina #ustvarjalnost #maribor #slovenija #slovenia #ditalnatransformacija #sola #zabava #digital #school #digitalschool #codinggiants #digisi","#šola, #učenje, #programiranje, #otrok, #otroci, #mladina, #ustvarjalnost, #maribor, #slovenija, #slovenia, #ditalnatransformacija, #sola, #zabava, #digital, #school, #digitalschool, #codinggiants, #digisi",2616,7
"3 načini, kako omejiti otrokov čas pred zasloni

Zasloni so del našega vsakdana, vendar je ravnotežje ključno — še posebej pri otrocih. 💡
S temi tremi preprostimi koraki lahko otroku pomagate razviti bolj zdrave digitalne navade:

✔️ Dnevi brez zaslonov
✔️ Uporaba aplikacij za nadzor uporabe telefona
✔️ Spodbujanje interesov, ki bodo otroke spodbujeli k aktivnostim brez zaslona 

Majhne spremembe lahko pomenijo več pozornosti, osredotočenosti, boljši spanec in več kakovostnega družinskega časa. ❤️

👉 Kako vi doma omejujete čas pred zasloni? Delite vaše izkušnje v komentarjih!",,8010,7
"🚀✨ Maraton delavnic Coding Giants ponovno v Tehnoparku Celje!

Med jesenskimi počitnicami so bila mesta na naših delavnicah v Celju zapolnjena hitreje, kot se uspe izvest ukaz print(""Pozdravljen, svet!"") 😊
Otroci in mladi od 7 do 18 let, so ustvarjali, programirali, se družili, razmišljali in navdušeno odkrivali, kako deluje svet tehnologije.

Z velikim veseljem se zato v Celje vračamo – tokrat z novim maratonom delavnic programiranja in umetne inteligence za otroke in mlade od 7 do 18 let.

🎮 Najmlajši bodo ustvarjali igre v Scratchu in spoznavali osnovne AI,
🧱 MInecraft navdušenci bodo s pomočjo AI ageta reševali izzive v Minecraft Education,
🤖 tisti z že nekaj programeskimi izkušnjami, pa se bodo preizkusili z izgradnjo svojega prvega AI chatbota v Pythonu.

Vse to na način, ki je razumljiv, zabaven in spodbuja radovednost, sodelovanje in samozavest.
To niso klasične delavnice – to je doživetje, kjer se učenje zgodi skoraj mimogrede.

📅 Sobota, 27. december
👨‍💻 Tehnopark Celje

Če želite otroku podariti izkušnjo, ki združuje znanje, igro in navdih za prihodnost, je to priložnost, ki je ne gre zamuditi.

Se vidimo v Tehnopark Celje  🌟
Mestna občina Celje Cjele, Cjele! 
#codinggiants 
#delavniceprogramiranja #programiranjezaotroke
#tehnoparkcelje
#celje
#maratondelavnic","#codinggiants, #delavniceprogramiranja, #programiranjezaotroke, #tehnoparkcelje, #celje, #maratondelavnic",6622,7
"🌟 TOP 10 najbolj perspektivnih poklicev prihodnosti! 🌟
Svet dela se hitro spreminja — tehnologija, digitalizacija in zelene rešitve pa ustvarjajo nova, izjemno iskana področja.
Če razmišljaš o svoji karierni poti ali poti tvojega otroka, je to seznam, ki ga moraš poznati. 👇

🔸 Umetna inteligenca in strojno učenje
🔸 Podatkovna znanost
🔸 Kibernetska varnost
🔸 Robotika in avtomatizacija
🔸 Zelene tehnologije
🔸 Digitalni marketing
… in še mnogo več!

💡 To so poklici, ki bodo imeli največ priložnosti, najvišje povpraševanje in najboljšo “odpornost” na spremembe v prihodnosti.

📣 Deli z nekom, ki izbira šolo, poklic ali išče novo karierno pot!",,3821,13
"V času jesenskih šolskih počitnic imamo od 28. 10. do 02. 11. 2025 počitnice tudi v Šoli programiranja Coding Giants. Z vsemi tečaji, tako v učilnicah kot prek spleta, skladno z že usklajenimi urniki, nadaljujemo v ponedeljek, 3. novembra 2025.

Želimo vam prijetne počitnice in se veselimo ponovnih programerskih druženj v novembru.

@followers @najbolj priljubljeni oboževalci",,3756,7
"Danes in še v sredo 29.10.2025, ... osvajamo programiranje, druge digitalne kompetence in svetove umetne inteligence, ... programirano računalniške igre v #Minecraft in #Scratch, spletne strani s #HTML, #CSS in #JavaScrpt, v #Python pa naredimo prvi ChatBot #AI klepetalnik @[100061302286427:2048:Tehnopark Celje] #CodeWeek #solaprogramiranja @[100064290805628:2048:Mestna občina Celje] @[9166037654:69:Cjele, Cjele!]","#Minecraft, #Scratch, #HTML, #CSS, #JavaScrpt, #Python, #AI, #CodeWeek, #solaprogramiranja",3878,7
"🎮💻 Cyber avantura programiranja v Celju! 🤖✨

Po uspešnih oktobrskih vikend delavnicah Coding Giants se odpravljamo v Celje!
V sodelovanju s Tehnopark Celje pripravljamo Maraton delavnic programiranja in umetne inteligence, kjer bodo otroci in mladostniki skozi igro spoznavali, kako razmišljajo programi – in kako razmišljajo računalniki.

👾 Kdaj?
📅 Petek, 25. oktober in torek, 29. oktober
📍 Tehnopark Celje (Gubčeva ulica 1, Celje)

👧🧑 Starostne skupine in teme:

7–9 let: Creeper Defender – programiranje igre v Scratchu 🟣

10–12 let: Labirint skrivnosti – Minecraft + MakeCode izzivi 🟩

12+ let: Master of mAIncraft – ustvarjanje spletne strani z elementi umetne inteligence 🌐

13–18 let: Chatbot AI – tvoj prvi pametni program v Pythonu 🐍

💰 Prispevek: 10 €
🎟 Prijava je obvezna prek spletne strani Tehnoparka:
👉 tehnopark.si/Aktualne-delavnice/maraton-delavnic-programiranja-s-coding-giants

🔗 Več o dogodku:
📅 Facebook dogodek

Pridružite se nam na dogodku, kjer ustvarjalnost povezujemo s sodobnimi tehnologijami! 🚀
#CodingGiants #TehnoparkCelje #ProgramiranjeZaOtroke #UmetnaInteligenca #MinecraftEducation #Python #Scratch #Celje @followers @topfans Tehnopark Celje","#CodingGiants, #TehnoparkCelje, #ProgramiranjeZaOtroke, #UmetnaInteligenca, #MinecraftEducation, #Python, #Scratch, #Celje",11101,7
"🚀 Odkrij moč Pythona! 🐍
Ali veš, da lahko s Pythonom razvijaš ne le majhne programe, ampak tudi zares osupljive aplikacije?
Od zabavnih iger 🎮 do umetne inteligence 🤖, spletnih strani, aplikacij in analize podatkov 📊 – možnosti so neskončne!

👉 Začni svojo programersko pot s Pythonom in se prepričaj, kaj vse lahko ustvariš.
V šoli programiranja Coding Giants te korak za korakom naučimo, kako svoje ideje pretvoriš v resničnost. 💡✨

#Ekipa #CodingGiants #Python #programiranje #programming @followers @topfans","#Ekipa, #CodingGiants, #Python, #programiranje, #programming",5253,7
"Vsi poznamo tisti občutek, ko sediš pred domačo nalogo in ne veš, kje začeti. 🙈
Ravno tukaj ti lahko priskoči na pomoč umetna inteligenca (AI) – ne da reši nalogo namesto tebe, ampak da ti pomaga razumeti snov in razmišljati samostojno. 💪
✨ Kako ti lahko AI pomaga pri učenju:
🔹 razloži ti težke pojme na preprost način (npr. »Kaj sploh je ulomek?«),
🔹 pomaga ti sestaviti načrt za spis ali raziskovalno nalogo,
🔹 odgovori na vprašanja, ko se učiš za test – ampak te tudi spodbudi, da najprej poskusiš sam!

Pri Coding Giants učimo, kako uporabljati umetno inteligenco odgovorno in pametno – kot pomočnika, ne kot bližnjico. 🚀

Ko znaš pravilno postavljati vprašanja in razumeti odgovore, UI postane tvoj najboljši učni partner. 🧠💻
💬 Kaj pa ti? Si že kdaj uporabil/-a umetno inteligenco pri učenju ali domači nalogi?
Deli svojo izkušnjo v komentarju! 👇
#CodingGiants #UmetnaInteligenca #PametnoUčenje #ProgramiranjeZaOtroke #DigitalnaPismenost #AIvIzobraževanju","#CodingGiants, #UmetnaInteligenca, #PametnoUčenje, #ProgramiranjeZaOtroke, #DigitalnaPismenost, #AIvIzobraževanju",5748,7
"💡 V DIGILAND tečajih programirajo tudi dekleta 👧!
Na naših tečajih 🌈 dekleta dokazujejo, da so 👧💪 radovedna, ustvarjalna in pogumna pri raziskovanju digitalnega sveta.

💻 Od prvih vrstic kode v Scratchu, do Python projektov v Minecraftu in izdelave spletnih strani – brez zadržkov se lotijo tudi zahtevnejših izzivov!

✨ In veste kaj? Mešane ekipe z dekleti so pogosto boljše – prinašajo več idej, več empatije in boljše rešitve, fantje pa so njihove družbe seveda tudi zelo veseli 💬💡

Zato ponosno spodbujamo 👩‍💻 dekleta k osvajanju programerskih veščin, ker je to več kot le učenje tehnologije – je nova oblika pismenosti 21. stoletja.

🚀 V okviru projekta MLADI 2025–26, ki ga finacira Ministrstvo za digitalno preobrazbo, izvajamo brezplačne tečaje DIGILand, namenjene otrokom in mladim od 7 do 29 let.

🧠 Naši tečaji so:
🎮 praktični
🤝 sodelovalni
💡 ustvarjalni
🌐 in predvsem zabavni!

📅 Novi cikli brezplačnih tečajev se začnejo kmalu 👉 https://www.codinggiants.si. Spremljaj nas in ne zamudi prijave!

#Ekipa #CodingGiants #Slovenija Ministrstvo za digitalno preobrazbo #digiSI @followers @topfans","#Ekipa, #CodingGiants, #Slovenija, #digiSI",9533,7
"🚀 Brezplačne delavnice za otroke in mladostnike!
Želite, da vaš otrok spozna sodobne tehnologije in razvija eno najpomembnejših digitalnih kompetenc – programiranje? 👨‍💻🎮

V oktobru vas vabimo k udeležbi na brezplačnih delavnicah za starostne skupine od 7 do 18 let:
✨ 7–9 let → Creeper Defender (Scratch) – ustvari lastno igro in spoznaj osnove umetne inteligence 🕹️
✨ 10–12 let → Labirint skrivnosti (Minecraft Education + MakeCode) – reševanje izzivov z AI-agentom in programiranjem 🧩
✨ 13–18 let → Master of mAIncraft (HTML, CSS, JS) – izdelava spletne strani 🌐
✨ 13–18 let → Chatbot AI (Python) – izdelava svojega pametnega klepetalnika 🤖

👩‍🏫 Delavnice izvajajo izkušeni mladi programerji, predavatelji šole programiranja Coding Giants Slovenija (DT:LAB).
📍 Lokacija: interaktivno prek spleta
🗓️ Termin: oktober 2025

🎉 Z delavnicami spodbujamo zgodnje učenje programiranja kot novodobne pismenosti. Število mest na delavnicah je omejeno, zato pohitite s prijavo! ⏳

👉 Prijave in več informacij: https://bit.ly/CwGBrezplacno

#šola #učenje #programiranje #otrok #otroci #mladina #ustvarjalnost #slovenija #slovenia #ditalnatransformacija #sola #zabava #digital #school #digitalschool #codinggiants #digisi  @topfans @followers","#šola, #učenje, #programiranje, #otrok, #otroci, #mladina, #ustvarjalnost, #slovenija, #slovenia, #ditalnatransformacija, #sola, #zabava, #digital, #school, #digitalschool, #codinggiants, #digisi",11475,7
"✨ Danes smo se potopili v svet ustvarjalnosti s Scratchom! 🖥️🎨
Udeleženci so raziskovali osnovne principe programiranja in hkrati razvijali svojo ustvarjalnost. 🚀
Scratch je dokaz, da je učenje programiranja lahko zabavno, mladi pa pri tem krepijo logično razmišljanje, ustvarjalnost ter timsko sodelovanje. 🙌

#Scratch #ProgramiranjeZaMlajše #UčenjeJeZabava","#Scratch, #ProgramiranjeZaMlajše, #UčenjeJeZabava",9259,7
"👩‍💻 Programiranje –  pismenost 21. stoletja

Kot branje, pisanje in računanje je tudi programiranje postalo temeljna veščina današnjega časa. V mnogih državah po svetu otroke programiranja učijo že v osnovni šoli, ker razvija logično razmišljanje, ustvarjalnost in reševanje problemov.

🇸🇮 V Sloveniji pa mladina na tem področju še vedno zaostaja za vrstniki v EU. Zato je še posebej pomembno, da starši otroke spodbujamo k zgodnjemu učenju programiranja – tudi kot obšolsko dejavnost.

V Šoli programiranja Coding Giants Slovenija se pridružujemo prizadevanjem za zgodnje digitalno opismenjevanje otrok in mladine ter spodbujamo znanje programiranja kot ključno kompetenco prihodnosti. Po naših najboljših močeh se pridružujemo prizadevanja Ministrstva za digitalno preobrazbo RS, ki v okviru projekta MLADI 2025–2026 omogoča, da so ti tečaji za otroke in mlade popolnoma brezplačni.

📢 Trenutno izvajamo že 2. cikel izobraževanj DIGI Land, pri katerem smo v zelo kratkem času zapolnili vse skupine. Zbiranje prijav za naslednji cikel se začne kmalu – zato spremljajte naše objave, da ne zamudite naslednje priložnosti za vpis!

👉 Naj postane učenje programiranja aktivnosti naših otrok in mladine enako pomembna, kot je učenje programiranja.

#šola #učenje #programiranje #otrok #otroci #mladina #ustvarjalnost #maribor #slovenija #slovenia #ditalnatransformacija #sola #zabava #digital #school #digitalschool #codinggiants #digisi  
@followers  @topfans","#šola, #učenje, #programiranje, #otrok, #otroci, #mladina, #ustvarjalnost, #maribor, #slovenija, #slovenia, #ditalnatransformacija, #sola, #zabava, #digital, #school, #digitalschool, #codinggiants, #digisi",3403,7
Tvoj interaktivni video,,3314,7
"✨ Dragi prijatelji Coding Giants ✨
V zadnjem mesecu smo bili na naših družbenih omrežjih nekoliko tišji – razlog pa je zelo preprost: na začeli z našim jesenskim semestrom tečajev programiranja in 2. ciklom izvedbe tečajev, ki jih izvajamo ob podpori Ministrstva za digitalno preobrazbo RS (več o tem na naši spletni strani).
👩‍💻👨‍💻 Otroci, najstniki in mladina, vseh starostnih skupin so že sedli za naše računalnike – nekateri doma prek spleta, drugi pa v naših učilnicah – in skupaj z mentorji odkrivajo svet programiranja, ustvarjalnosti in tehnologije. Vmes smo se preselili še v prenovljeno učilnico, tako, da se dogaja na polno.

Naše delo je bilo usmerjeno predvsem v to, da vsakemu udeležencu ponudimo kar najboljšo izkušnjo učenja, zato ste vsi, ki nas sicer spremljate na družebnih medijih, morali žal malo tudi počakati. 😊

Zdaj, ko se urniki umirjajo, bomo spet z vami delili utrinke iz učilnic, ideje in zanimivosti iz sveta programiranja.

Hvala, ker nas spremljate in podpirate naša prizadevanja – otrokom in mladim približati programiranje na zabaven in dostopen način! 

#Ekipa #CodingGiants #Slovenija Ministrstvo za digitalno preobrazbo #digiSI","#Ekipa, #CodingGiants, #Slovenija, #digiSI",4834,7
"🌐 Umetna inteligenca: priložnost ali izziv?

Ste že pogledali nov prispevek RTV-SLO: Umetna inteligenca je globoko zarezala v naše življenje? V njem lahko prisluhnete vodji naših programov Sergeju Lahu in predavatelju v naših tečajih Jakobu Lipovcu. 

V Coding Giants verjamemo, da AI ni le tema za prihodnost ampak že danes spreminja način, kako učimo in delamo, kako razmišljamo o etiki in odgovornosti pri razvoju tehnologij.

Zakaj je to pomembno za nas:

💡AI lahko pomaga pri prilagajanju učnih poti in omogoča personalizirane naloge, takojšnje povratne informacije in dostop do naprednih orodij.
💡Z razvojem AI prihajajo vprašanja zasebnosti, pristranskosti v podatkih in odgovornosti. Kako zagotoviti, da tehnologija služi vsem enako?
💡Mladi, ki se učijo kodirati danes, bodo jutri oblikovali družbo. Poznavanje AI principov in algoritmov že v osnovi odpira vrata inovacijam.

Kaj ponujamo mi?

✅Moduli o AI v naših tečajih: razumevanje, kako deluje strojno učenje, kako se ocenjujejo modeli in kako se obvladujejo pasti.
✅Spodbujamo kritično razmišljanje pri učenju in poučevanju: ne samo kaj AI zmore, ampak tudi kaj ne.

Coding Giants – Naši mladi ne le sledijo tehnologiji, ampak jo soustvarjajo.

#AI #izobraževanje #CodingGiants #inovacije #responsibleTech","#AI, #izobraževanje, #CodingGiants, #inovacije, #responsibleTech",5577,7
"😄 Tečaji Coding Giants VS. 😐 običajen šolski dan
Razlika? ➡️ Motivacija, soustvarjanje in ogromno zabave ob učenju!

🌟 V naših tečajih, naj bodo online ali v učilnici, zagotavljamo spodbudno, interaktivno in sproščeno okolje. V njih lahko mladi sprostijo domišljijo, izkoristijo svoje talente in razvijajo kreativnost, medtem ko uresničujejo tudi lastne ideje in projekte. 🚀

❤️Učenje programiranja še nikoli ni bilo tako zabavno in navdihujoče! 

🌟Brez dolgočasne teorije – le resnični projekti, delo v skupini in občutek uspeha!

🎯 Učenje programiranja še nikoli ni bilo tako zanimivo.
👉 Pridruži se zdaj in se prepričaj o razliki!

#šola #učenje #programiranje #otrok #otroci #mladina #ustvarjalnost #maribor #slovenija #slovenia #ditalnatransformacija #sola #zabava #digital #school #digitalschool #codinggiants #digisi  
@followers  @topfans","#šola, #učenje, #programiranje, #otrok, #otroci, #mladina, #ustvarjalnost, #maribor, #slovenija, #slovenia, #ditalnatransformacija, #sola, #zabava, #digital, #school, #digitalschool, #codinggiants, #digisi",7612,7
"🌟 DIGI Land poletje 2025 – zaključek prvega cikla subvencioniranih tečajev!

Od maja do julija smo v okviru projekta DIGILand, ki ga v sodelovanju s konzorcijskimi partnerji izvajamo ob podpori Ministrstva za digitalno preobrazbo RS in Vlade RS in, izvedli serijo brezplačnih tečajev programiranja in razvoja splošnih digitalnih veščin, ki se jih je udeležilo več kot 100 otrok in mladih iz vse Slovenije. 💻✨

📚 v času poletnih počitnic smo se 2-krat tedensko družili v interaktivnih online učilnicah, kjer so udeleženci:

🔹 spoznavali osnove blokovnega programiranja v Scratchu in Minecraft EE,
🔹 raziskovali osnove umetne inteligence,
🔹 ustvarjali svoje prve spletne strani z HTML, CSS in JavaScript,
🔹 se soočali z izzivi programiranja v Pythonu,
🔹 se učili o pasteh in nevarnostih interneta, varni uporabi interneta, spletnem komuniciranju, spletnem bontonu, zaščiti podatkov in naprav ....

👏 Veselje, radovednost in ustvarjalnost udeležencev so nam še en dokaz, kako pomembno je zgodnje učenje programiranja in razvijanje digitalnih kompetenc za prihodnost.

🚀 Zdaj pa naprej!
Po kratkem poletnem premoru se vračamo z novim ciklom:
📅 Online tečaji – začnemo že 25. avgusta 2025
🏫 Tečaji v učilnici – pričenjamo 1. septembra 2025

Tečaji so popolnoma brezplačni in prilagojeni starosti ter predznanju. Število mest je omejeno, zato oddajte informativno prijavo in bodite med prvimi obveščenimim:

📌 Informativna prijava: https://bit.ly/DigiLandInformativno
📌 Več o projektu: https://bit.ly/DigiLand2025_predstavitev

Termine novega cikla tečajev objavimo v prihodnjem tednu.

💬 Delite objavo, da bo čim več otrok in mladih dobilo priložnost vstopiti v svet ustvarjalne in varne uporabe digitalnih tehnologij!

#DIGCodingGiants #DigiLand #DigitalneKompetence #BrezplacniTecaji #ProgramiranjeZaOtroke #DigitalnaPreobrazba #CodingGiantsSlovenija #MladiProgramerji #DigComp #Scratch #Python #HTML #CSS #JavaScript #slovenija #maribor #digiSI Ministrstvo za digitalno preobrazbo Vlada Republike Slovenije @followers @topfans  Ljudska Univerza Škofja Loka Cene Štupar - CILJ Andragoški zavod Maribor - Ljudska univerza Ljudska univerza Lendava Ljudska univerza Murska Sobota Ljudska univerza Ravne na Koroškem Ljudska Univerza Sežana","#DIGCodingGiants, #DigiLand, #DigitalneKompetence, #BrezplacniTecaji, #ProgramiranjeZaOtroke, #DigitalnaPreobrazba, #CodingGiantsSlovenija, #MladiProgramerji, #DigComp, #Scratch, #Python, #HTML, #CSS, #JavaScript, #slovenija, #maribor, #digiSI",10560,7
"🧠 Koliko časa potrebuješ, da se naučiš programirati?
Odgovor: manj, kot si misliš – če imaš pravo podporo. 😉

📊 Na grafikonu vidiš okvirne čase, ki jih potrebuješ za osvojitev najbolj priljubljenih programskih jezikov:
👉 Python: odličen za začetnike (2–4 mesece)
👉 JavaScript: če te zanima spletni razvoj
👉 C++: temeljit jezik za resne izzive

🔑 A najpomembnejše vprašanje ni ""koliko časa"", ampak s kom se učiš.

🎯 Naš programerski tečaj za otroke in mladostnike je zasnovan tako, da:
✅ poenostavi učenje težkih konceptov,
✅ vključuje mentorstvo, prakso in skupinsko dinamiko,
✅ omogoča hitrejši napredek – brez frustracij.

💻 Pridruži se eni izmed naših jesenskih skupin in osvoji svoj prvi programski jezik že letos! 🚀
📩 Piši nam v inbox ali rezerviraj mesto na https://www.codinggiants.si/courses?active_type=GRAPHIC_ONLINE_SHORT
👇 Kateri jezik te najbolj mika? Povej nam v komentarju!

#programiranje #tečajprogramiranja #mladiprogramerji #ucenjesprogramiranjem","#programiranje, #tečajprogramiranja, #mladiprogramerji, #ucenjesprogramiranjem",10152,13
"🎓 Kako začeti kariero kot mladi programer?

Če si ravno zaključil/-a šolanje ali se samostojno učiš programiranja, je lahko iskanje prve zaposlitve precej zahtevno. Kam sploh pogledati, kje začeti?

🔸 Start-upi pogosto iščejo mlade, motivirane razvijalce, ki prinesejo svežo energijo in željo po učenju. Tam boš najverjetneje prevzel/-a več različnih nalog, kar pomeni hitro učenje in pridobivanje širokega nabora veščin. Velikokrat nudijo možnosti dela preko študentske napotnice, preveri in pošlji ponudbo za delo. :)
🔸 Velika IT podjetja (kot Google, Microsoft ipd.) nudijo bolj strukturirana okolja z urejenimi procesi, mentorstvom in možnostmi za dolgoročno karierno rast, a pogosto zahtevajo bolj izpiljen portfolio že ob vstopu.

🟠 V naslednji objavi ti pokažemo, da priložnosti za programerje ne najdeš samo v klasičnih podjetjih – obstajajo še druge poti, kjer lahko začneš graditi kariero, tudi brez dolgoletnih izkušenj.

📅 Spremljaj nas 
#mladiprogramerji #karierniNasveti #programiranje #zaposlitevvIT #startupi #tehnologija #digitalnakariera","#mladiprogramerji, #karierniNasveti, #programiranje, #zaposlitevvIT, #startupi, #tehnologija, #digitalnakariera",9940,7
